VARIABLES= "X", "Y", "C"
0 0 0
0.02 0 0
0.04 0 0
0.06 0 0
0.08 0 0
0.1 0 0
0.12 0 0
0.14 0 0
0.16 0 0
0.18 0 0
0.2 0 0
0.22 0 0
0.24 0 0
0.26 0 0
0.28 0 0
0.3 0 0
0.32 0 0
0.34 0 0
0.36 0 0
0.38 0 0
0.4 0 0
0.42 0 0
0.44 0 0
0.46 0 0
0.48 0 0
0.5 0 0
0.52 0 0
0.54 0 0
0.56 0 0
0.58 0 0
0.6 0 0
0.62 0 0
0.64 0 0
0.66 0 0
0.68 0 0
0.7 0 0
0.72 0 0
0.74 0 0
0.76 0 0
0.78 0 0
0.8 0 0
0.82 0 0
0.84 0 0
0.86 0 0
0.88 0 0
0.9 0 0
0.92 0 0
0.94 0 0
0.96 0 0
0.98 0 0
1 0 0
1 0.02 0
1 0.04 0
1 0.06 0
1 0.08 0
1 0.1 0
1 0.12 0
1 0.14 0
1 0.16 0
1 0.18 0
1 0.2 0
1 0.22 0
1 0.24 0
1 0.26 0
1 0.28 0
1 0.3 0
1 0.32 0
1 0.34 0
1 0.36 0
1 0.38 0
1 0.4 0
1 0.42 0
1 0.44 0
1 0.46 0
1 0.48 0
1 0.5 0
1 0.52 0
1 0.54 0
1 0.56 0
1 0.58 0
1 0.6 0
1 0.62 0
1 0.64 0
1 0.66 0
1 0.68 0
1 0.7 0
1 0.72 0
1 0.74 0
1 0.76 0
1 0.78 0
1 0.8 0
1 0.82 0
1 0.84 0
1 0.86 0
1 0.88 0
1 0.9 0
1 0.92 0
1 0.94 0
1 0.96 0
1 0.98 0
1 1 0
0.98 1 0
0.96 1 0
0.94 1 0
0.92 1 0
0.9 1 0
0.88 1 0
0.86 1 0
0.84 1 0
0.82 1 0
0.8 1 0
0.78 1 0
0.76 1 0
0.74 1 0
0.72 1 0
0.7 1 0
0.68 1 0
0.66 1 0
0.64 1 0
0.62 1 0
0.6 1 0
0.58 1 0
0.56 1 0
